Date,HP_Admission,MP_Extraction,Energy_Production
2024-01-01 00:00:00,203.020782,158.581879,24.0123482
2024-01-01 00:15:00,202.542358,157.866287,23.9939041
2024-01-01 00:30:00,202.464325,158.082916,23.9961319
2024-01-01 00:45:00,202.630966,157.981812,23.9663963
2024-01-01 01:00:00,202.6142,159.237442,24.05022
2024-01-01 01:15:00,202.633881,156.949356,24.112566
2024-01-01 01:30:00,202.312286,157.483215,24.016634
2024-01-01 01:45:00,202.586273,156.837921,24.0275364
2024-01-01 02:00:00,202.376556,157.902267,23.8782539
2024-01-01 02:15:00,202.827164,158.340088,23.86199
2024-01-01 02:30:00,202.722733,157.4474,23.9429245
2024-01-01 02:45:00,202.622849,157.8147,23.9651814
2024-01-01 03:00:00,202.863953,157.979568,24.0726738
2024-01-01 03:15:00,203.004776,158.156982,24.0995579
2024-01-01 03:30:00,202.4549,158.482437,23.9127674
2024-01-01 03:45:00,202.721527,157.83847,24.100584
2024-01-01 04:00:00,202.6073,158.63533,23.9631081
2024-01-01 04:15:00,202.59111,158.054184,23.9307766
2024-01-01 04:30:00,202.880249,158.152634,24.0947933
2024-01-01 04:45:00,202.544281,157.959854,23.9053555
2024-01-01 05:00:00,202.63176,157.761047,23.94196
2024-01-01 05:15:00,202.75383,158.140869,24.0378532
2024-01-01 05:30:00,202.6296,158.244614,24.0247173
2024-01-01 05:45:00,202.625427,157.923431,23.984108
2024-01-01 06:00:00,202.715851,161.201843,23.31892
2024-01-01 06:15:00,202.580612,161.223785,23.3480968
2024-01-01 06:30:00,202.516678,151.560623,25.1393089
2024-01-01 06:45:00,202.5972,152.40538,25.0306873
2024-01-01 07:00:00,202.507324,152.1868,25.1663532
2024-01-01 07:15:00,202.592575,151.5707,25.1678543
2024-01-01 07:30:00,202.728729,152.673721,25.1089
2024-01-01 07:45:00,202.603317,152.42363,25.2945576
2024-01-01 08:00:00,202.130554,151.493225,25.20239
2024-01-01 08:15:00,202.746552,152.42038,25.1956844
2024-01-01 08:30:00,202.823349,152.1848,25.2367382
2024-01-01 08:45:00,202.755951,152.408142,25.23513
2024-01-01 09:00:00,202.230377,151.67247,25.123497
2024-01-01 09:15:00,202.825012,152.1019,25.1218243
2024-01-01 09:30:00,203.1903,152.34404,25.2597675
2024-01-01 09:45:00,202.6236,152.472015,25.0804863
2024-01-01 10:00:00,202.720245,151.959213,25.2288437
2024-01-01 10:15:00,202.681442,152.468948,24.9712238
2024-01-01 10:30:00,202.544525,152.364319,25.08016
2024-01-01 10:45:00,202.6106,152.0187,25.0328388
2024-01-01 11:00:00,202.680222,152.409378,24.9839668
2024-01-01 11:15:00,202.618866,152.106125,25.0152264
2024-01-01 11:30:00,202.725708,151.5917,25.1548367
2024-01-01 11:45:00,202.813934,152.3796,25.1299381
2024-01-01 12:00:00,202.73082,152.333282,25.2301369
2024-01-01 12:15:00,202.8972,152.513168,25.027298
2024-01-01 12:30:00,202.602219,151.3836,25.13446
2024-01-01 12:45:00,202.85025,151.99881,25.0474548
2024-01-01 13:00:00,202.687317,152.0825,25.1253471
2024-01-01 13:15:00,203.147491,152.286926,25.1134262
2024-01-01 13:30:00,203.079559,152.346344,25.0069923
2024-01-01 13:45:00,202.689575,151.5591,25.220129
2024-01-01 14:00:00,202.862762,151.884232,25.1682453
2024-01-01 14:15:00,202.300476,151.855927,25.0610332
2024-01-01 14:30:00,202.777725,151.963531,25.03928
2024-01-01 14:45:00,202.510239,151.815,25.0982933
2024-01-01 15:00:00,202.632568,152.581848,25.16423
